work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,"Senior level","Full time","Software Developer",177567,USD,177567,US,0,US,Medium
2025,"Senior level","Full time","BI Developer",109928,USD,109928,US,100,US,Medium
2025,"Senior level","Full time","BI Developer",82446,USD,82446,US,100,US,Medium
2025,"Mid level","Full time",Analyst,147390,USD,147390,US,0,US,Medium
2025,"Senior level","Full time","Data Engineer",131450,USD,131450,US,0,US,Medium
2025,"Mid level","Full time","Product Manager",189577,USD,189577,US,0,US,Medium
2025,"Mid level","Full time","Product Manager",157975,USD,157975,US,0,US,Medium
2025,"Entry level","Full time","Data Analyst",140471,USD,140471,US,0,US,Medium
2025,"Entry level","Full time","Data Analyst",85135,USD,85135,US,0,US,Medium
2025,"Senior level","Full time","Data Engineer",105520,USD,105520,US,0,US,Medium
2025,"Senior level","Full time","Software Engineer",161920,USD,161920,US,0,US,Medium
2025,"Senior level","Full time",Analyst,58844,USD,58844,US,0,US,Medium
2025,"Mid level","Full time",Engineer,114999,USD,114999,US,0,US,Medium
2025,"Senior level","Full time","Software Engineer",253145,USD,253145,US,100,US,Medium
2025,"Senior level","Full time","Software Engineer",172599,USD,172599,US,100,US,Medium
2025,"Senior level","Full time",Engineer,156733,USD,156733,US,0,US,Medium
2025,"Senior level","Full time",Engineer,133561,USD,133561,US,0,US,Medium
2025,"Entry level","Full time","Data Analyst",56113,GBP,71029,GB,0,GB,Medium
2025,"Entry level","Full time","Data Analyst",44199,GBP,55948,GB,0,GB,Medium
2025,"Mid level","Full time","Data Analyst",87896,USD,87896,US,0,US,Medium
2025,"Mid level","Full time","Data Analyst",60618,USD,60618,US,0,US,Medium
2025,"Senior level","Full time","Data Engineer",138940,USD,138940,CA,0,CA,Medium
2025,"Senior level","Full time","Data Architect",100473,USD,100473,US,0,US,Medium
2025,"Senior level","Full time","Data Architect",90426,USD,90426,US,0,US,Medium
2025,"Mid level","Full time",Engineer,96737,USD,96737,US,0,US,Medium
2025,"Mid level","Full time","Software Engineer",153632,USD,153632,US,0,US,Medium
2025,"Senior level","Full time","Data Architect",163260,USD,163260,US,100,US,Medium
2025,"Mid level","Full time","Data Scientist",109496,USD,109496,AU,0,AU,Medium
2025,"Mid level","Full time","Data Scientist",100554,USD,100554,AU,0,AU,Medium
2025,"Senior level","Full time","Data Manager",121035,USD,121035,US,0,US,Medium
2025,"Mid level","Full time",Consultant,27600,EUR,29052,SK,0,SK,Medium
2025,"Entry level","Full time","Data Analyst",113440,USD,113440,US,100,US,Medium
2025,"Entry level","Full time","Data Analyst",66730,USD,66730,US,100,US,Medium
2025,"Senior level","Full time","Applied Scientist",315775,USD,315775,US,0,US,Medium
2025,"Senior level","Full time","Backend Engineer",133875,USD,133875,US,0,US,Medium
2025,"Expert Level","Full time","Data Engineer",333900,USD,333900,US,0,US,Medium
2025,"Entry level","Full time",Analyst,125077,USD,125077,GB,0,GB,Medium
2025,"Entry level","Full time",Analyst,75804,USD,75804,GB,0,GB,Medium
2025,"Senior level","Full time",Analyst,73251,USD,73251,US,0,US,Medium
2025,"Mid level","Full time","Data Engineer",197730,USD,197730,US,0,US,Medium
2025,"Mid level","Full time","Data Engineer",103450,USD,103450,US,0,US,Medium
2025,"Senior level","Full time","Data Scientist",296610,USD,296610,US,100,US,Medium
2025,"Mid level","Full time","Data Scientist",77700,USD,77700,US,0,US,Medium
2025,"Entry level","Full time","Data Analyst",107122,USD,107122,US,0,US,Medium
2025,"Entry level","Full time","Data Analyst",61213,USD,61213,US,0,US,Medium
2025,"Mid level","Full time","Data Management Specialist",46765,USD,46765,US,100,US,Medium
2025,"Mid level","Full time","Data Management Specialist",31175,USD,31175,US,100,US,Medium
2025,"Senior level","Full time",Engineer,127688,USD,127688,US,0,US,Medium
2025,"Senior level","Full time",Engineer,85125,USD,85125,US,0,US,Medium
2025,"Mid level","Full time","Cloud Engineer",159435,USD,159435,US,0,US,Medium
2025,"Mid level","Full time","Cloud Engineer",109441,USD,109441,US,0,US,Medium
2025,"Senior level","Full time",Architect,121030,USD,121030,US,0,US,Medium
2025,"Senior level","Full time","Software Engineer",558000,USD,558000,US,0,US,Medium
2025,"Senior level","Full time","Solutions Architect",176138,USD,176138,US,100,US,Medium
